cfid,spotdate,spread
A_SF_XR_USD_10Y,2017-01-02,126.75
A_SF_XR_USD_10Y,2017-01-03,126.75
A_SF_XR_USD_10Y,2017-01-04,176.93
A_SF_XR_USD_10Y,2017-01-05,173.06
A_SF_XR_USD_10Y,2017-01-06,173.76
A_SF_XR_USD_10Y,2017-01-09,174.6
A_SF_XR_USD_10Y,2017-01-10,176.29
A_SF_XR_USD_10Y,2017-01-11,177.53
A_SF_XR_USD_10Y,2017-01-12,177.36
A_SF_XR_USD_10Y,2017-01-13,177.88
A_SF_XR_USD_10Y,2017-01-16,177.1
A_SF_XR_USD_10Y,2017-01-17,177.11
A_SF_XR_USD_10Y,2017-01-18,178.05
A_SF_XR_USD_10Y,2017-01-19,177.08
A_SF_XR_USD_10Y,2017-01-20,177.46
A_SF_XR_USD_5Y,2017-01-02,95.24
A_SF_XR_USD_5Y,2017-01-03,95.23
A_SF_XR_USD_5Y,2017-01-04,97.39
A_SF_XR_USD_5Y,2017-01-05,93.98
A_SF_XR_USD_5Y,2017-01-06,94.7
A_SF_XR_USD_5Y,2017-01-09,95.45
A_SF_XR_USD_5Y,2017-01-10,96.94
A_SF_XR_USD_5Y,2017-01-11,98.03
A_SF_XR_USD_5Y,2017-01-12,97.8
A_SF_XR_USD_5Y,2017-01-13,98.33
A_SF_XR_USD_5Y,2017-01-16,97.52
A_SF_XR_USD_5Y,2017-01-17,97.54
A_SF_XR_USD_5Y,2017-01-18,98.44
A_SF_XR_USD_5Y,2017-01-19,97.48
A_SF_XR_USD_5Y,2017-01-20,97.81
AAL_SF_MM_EUR_10Y,2017-01-02,319.74
AAL_SF_MM_EUR_10Y,2017-01-03,317.59
AAL_SF_MM_EUR_10Y,2017-01-04,317.66
AAL_SF_MM_EUR_10Y,2017-01-05,316.31
AAL_SF_MM_EUR_10Y,2017-01-06,319.12
AAL_SF_MM_EUR_10Y,2017-01-09,319.1
AAL_SF_MM_EUR_10Y,2017-01-10,319.11
AAL_SF_MM_EUR_10Y,2017-01-11,317.73
AAL_SF_MM_EUR_10Y,2017-01-12,319.24
AAL_SF_MM_EUR_10Y,2017-01-13,317.17
AAL_SF_MM_EUR_10Y,2017-01-16,317.19
AAL_SF_MM_EUR_10Y,2017-01-17,317.14
AAL_SF_MM_EUR_10Y,2017-01-18,312.14
AAL_SF_MM_EUR_10Y,2017-01-19,300.02
AAL_SF_MM_EUR_10Y,2017-01-20,296.97
AAL_SF_MM_EUR_5Y,2017-01-02,226.81
AAL_SF_MM_EUR_5Y,2017-01-03,224.71
AAL_SF_MM_EUR_5Y,2017-01-04,224.76
AAL_SF_MM_EUR_5Y,2017-01-05,223.34
AAL_SF_MM_EUR_5Y,2017-01-06,226.21
AAL_SF_MM_EUR_5Y,2017-01-09,226.17
AAL_SF_MM_EUR_5Y,2017-01-10,226.17
AAL_SF_MM_EUR_5Y,2017-01-11,224.71
AAL_SF_MM_EUR_5Y,2017-01-12,224.59
AAL_SF_MM_EUR_5Y,2017-01-13,222.58
AAL_SF_MM_EUR_5Y,2017-01-16,222.59
AAL_SF_MM_EUR_5Y,2017-01-17,222.48
AAL_SF_MM_EUR_5Y,2017-01-18,217.51
AAL_SF_MM_EUR_5Y,2017-01-19,205.07
AAL_SF_MM_EUR_5Y,2017-01-20,201.99
AALO_SF_XR_USD_10Y,2017-01-02,461.29
AALO_SF_XR_USD_10Y,2017-01-03,461.29
AALO_SF_XR_USD_10Y,2017-01-04,461.41
AALO_SF_XR_USD_10Y,2017-01-05,461.42
AALO_SF_XR_USD_10Y,2017-01-06,461.41
AALO_SF_XR_USD_10Y,2017-01-09,461.42
AALO_SF_XR_USD_10Y,2017-01-10,461.42
AALO_SF_XR_USD_10Y,2017-01-11,461.42
AALO_SF_XR_USD_10Y,2017-01-12,456.66
AALO_SF_XR_USD_10Y,2017-01-13,456.65
AALO_SF_XR_USD_10Y,2017-01-16,456.65
AALO_SF_XR_USD_10Y,2017-01-17,456.66
AALO_SF_XR_USD_10Y,2017-01-18,456.65
