cfid,spotdate,nvol
AUD_10Y_10Y_AM,2017-01-03,70.75
AUD_10Y_10Y_AM,2017-01-04,70.86
AUD_10Y_10Y_AM,2017-01-05,70.97
AUD_10Y_10Y_AM,2017-01-06,70.79
AUD_10Y_10Y_AM,2017-01-09,71.26
AUD_10Y_10Y_AM,2017-01-10,70.87
AUD_10Y_10Y_AM,2017-01-11,70.57
AUD_10Y_10Y_AM,2017-01-12,70.62
AUD_10Y_10Y_AM,2017-01-13,70.74
AUD_10Y_10Y_AM,2017-01-16,70.8
AUD_10Y_10Y_AM,2017-01-17,71.09
AUD_10Y_10Y_AM,2017-01-18,71.13
AUD_10Y_10Y_AM,2017-01-19,71.18
AUD_10Y_10Y_AM,2017-01-20,70.87
AUD_10Y_10Y_N100,2017-01-03,65.61
AUD_10Y_10Y_N100,2017-01-04,65.63
AUD_10Y_10Y_N100,2017-01-05,65.68
AUD_10Y_10Y_N100,2017-01-06,65.42
AUD_10Y_10Y_N100,2017-01-09,65.91
AUD_10Y_10Y_N100,2017-01-10,65.52
AUD_10Y_10Y_N100,2017-01-11,65.28
AUD_10Y_10Y_N100,2017-01-12,65.18
AUD_10Y_10Y_N100,2017-01-13,65.34
AUD_10Y_10Y_N100,2017-01-16,65.43
AUD_10Y_10Y_N100,2017-01-17,65.65
AUD_10Y_10Y_N100,2017-01-18,65.79
AUD_10Y_10Y_N100,2017-01-19,65.99
AUD_10Y_10Y_N100,2017-01-20,65.79
AUD_10Y_10Y_N150,2017-01-03,62.69
AUD_10Y_10Y_N150,2017-01-04,62.65
AUD_10Y_10Y_N150,2017-01-05,62.66
AUD_10Y_10Y_N150,2017-01-06,62.33
AUD_10Y_10Y_N150,2017-01-09,62.86
AUD_10Y_10Y_N150,2017-01-10,62.46
AUD_10Y_10Y_N150,2017-01-11,62.25
AUD_10Y_10Y_N150,2017-01-12,62.06
AUD_10Y_10Y_N150,2017-01-13,62.23
AUD_10Y_10Y_N150,2017-01-16,62.34
AUD_10Y_10Y_N150,2017-01-17,62.53
AUD_10Y_10Y_N150,2017-01-18,62.73
AUD_10Y_10Y_N150,2017-01-19,63.03
AUD_10Y_10Y_N150,2017-01-20,62.9
AUD_10Y_10Y_N25,2017-01-03,69.54
AUD_10Y_10Y_N25,2017-01-04,69.62
AUD_10Y_10Y_N25,2017-01-05,69.72
AUD_10Y_10Y_N25,2017-01-06,69.53
AUD_10Y_10Y_N25,2017-01-09,70.0
AUD_10Y_10Y_N25,2017-01-10,69.61
AUD_10Y_10Y_N25,2017-01-11,69.32
AUD_10Y_10Y_N25,2017-01-12,69.34
AUD_10Y_10Y_N25,2017-01-13,69.47
AUD_10Y_10Y_N25,2017-01-16,69.54
AUD_10Y_10Y_N25,2017-01-17,69.81
AUD_10Y_10Y_N25,2017-01-18,69.87
AUD_10Y_10Y_N25,2017-01-19,69.96
AUD_10Y_10Y_N25,2017-01-20,69.67
AUD_10Y_10Y_N50,2017-01-03,68.28
AUD_10Y_10Y_N50,2017-01-04,68.34
AUD_10Y_10Y_N50,2017-01-05,68.43
AUD_10Y_10Y_N50,2017-01-06,68.21
AUD_10Y_10Y_N50,2017-01-09,68.69
AUD_10Y_10Y_N50,2017-01-10,68.3
AUD_10Y_10Y_N50,2017-01-11,68.03
AUD_10Y_10Y_N50,2017-01-12,68.01
AUD_10Y_10Y_N50,2017-01-13,68.15
AUD_10Y_10Y_N50,2017-01-16,68.22
AUD_10Y_10Y_N50,2017-01-17,68.48
AUD_10Y_10Y_N50,2017-01-18,68.56
AUD_10Y_10Y_N50,2017-01-19,68.69
